Sukunimi;Nimenhaltijoita yhteensä
Uotinen;646
Sääskilahti;645
Hoikkala;644
Koivusalo;644
Raitio;644
Kiiveri;642
Leppäniemi;642
Uusimäki;642
Harjunpää;641
Mansikkamäki;641
Tuokko;641
Ritola;640
Rönnberg;640
Summanen;640
Tommila;640
Virtala;638
Vitikainen;638
Rummukainen;637
Huhtinen;636
Kohvakka;636
Suoranta;636
Hirvi;635
Heinola;634
Wikman;634
Vuolle;634
Jaskari;633
Viitamäki;633
Friberg;632
Hannuksela;631
Jalo;631
Häkli;630
Pärnänen;630
Sassi;630
Syvänen;630
Mynttinen;629
Kanninen;628
Mänttäri;628
Väistö;628
Häggman;626
Piispa;626
Silventoinen;626
Viertola;626
Vähämäki;626
Kuosa;625
Larsson;625
Hyväri;624
Kilpi;624
Koho;624
Mölsä;624
Wiklund;624
Virkkala;624
Inkeroinen;623
Javanainen;623
Broman;622
Pätsi;622
Tuovila;622
Mulari;621
Vanninen;621
Luukkainen;620
Roponen;620
Hukka;619
Oikari;619
Pukkila;619
Hotti;618
Kero;618
Paunonen;618
Söderman;618
Blomster;617
Ikäheimo;617
Puputti;617
Ståhl;617
Matero;616
Köykkä;615
Mikola;615
Vähäkuopus;615
Katila;614
Marjanen;614
Ingman;613
Kivilahti;613
Heininen;612
Lehtoranta;612
Simpanen;612
Villanen;612
Rokka;611
Ritvanen;610
Vähätalo;610
Hannonen;609
Liukko;609
Nikulainen;609
Tilli;609
Myllys;608
Välikangas;608
Enberg;607
Hulkko;607
Niemeläinen;607
Kaivola;606
Leppä;606
Lindblad;605
Vasara;605
Leikas;604
Akkanen;603
Halminen;603
Hellgren;603
Nikkola;602
Pitkälä;602
Vertanen;602
Saranpää;601
Skyttä;601
Sulonen;601
Teppo;601
Abdi;600
Natunen;600
Pihlajamaa;600
Torikka;600
Kleemola;599
Perttunen;599
Torkkeli;599
Mutikainen;598
Toppinen;598
Kontinen;597
Kähärä;597
Ruottinen;596
Tapanainen;596
Björkqvist;595
Haapasaari;595
Lundqvist;595
Nissi;595
Hietaniemi;594
Keronen;592
Kerttula;591
Posio;591
Sundholm;591
Bollström;589
Perämäki;589
Westman;589
Joronen;588
West;588
Saarijärvi;587
Simula;587
Finne;586
Kokki;586
Mansikka;586
Riihelä;586
Hemminki;585
Kaakinen;585
Karhumaa;585
Ruoho;585
Onnela;584
Takkunen;584
Tuomala;584
Väliaho;584
Honka;583
Nyrhinen;583
Paalanen;583
Pirilä;583
Niininen;582
Sipponen;582
Erola;581
Ilmonen;581
Rantonen;581
Tiusanen;581
Hyyppä;580
Kakkonen;580
Latva;580
Majava;580
Isokangas;579
Kontturi;579
Ahopelto;578
Behm;578
Innanen;578
Lindh;578
Malkki;578
Tuunainen;578
Hännikäinen;577
Paakki;576
Hussein;575
Kanto;575
Kanervo;574
Stenius;574
Honkaniemi;573
Päkkilä;573
Tapola;573
Heinilä;572
Juusola;572
Lamminmäki;572
Sund;572
Mäntyniemi;571
Huttu;570
Ilves;570
Karsikas;570
Mattinen;570
Korpelainen;569
Lantto;569
Lavikainen;569
Maaranen;569
Murtomäki;569
Ojaniemi;569
Roivas;568
Hemmilä;567
Haukka;566
Oittinen;565
Tallgren;565
Pirskanen;563
Blomerus;562
Hanhela;562
Ilonen;562
Kunttu;562
Kylmänen;562
Lehtovaara;562
Sjöström;562
Sonninen;562
Törnqvist;562
Kronqvist;561
Palmroth;560
Paronen;560
Petäjä;560
Saksa;559
Paukku;558
Rapo;558
Sirkka;558
Ståhlberg;558
Suoniemi;558
Hentilä;557
Karppi;557
Kautonen;557
Sandvik;557
Kareinen;556
Leppämäki;556
Mettälä;556
Stolt;556
Viitasaari;555
Hyytinen;554
Impola;554
Lonka;554
Noponen;554
Hentunen;553
Karhapää;553
Puumala;553
Hyry;552
Leiviskä;552
Ruponen;552
Ulmanen;552
Kukko;551
Pudas;551
Åström;551
Hirsimäki;550
Husso;550
Isoniemi;550
Kahila;550
Saarni;550
Tornberg;550
Hiltula;549
Piitulainen;549
Lauri;547
Lehtilä;547
Mylläri;547
Rimpiläinen;547
Sjögren;546
Hanski;545
Liedes;545
Tanttu;545
Paakkari;544
Rautakoski;544
Alanne;542
Mourujärvi;542
Sorvali;542
Sintonen;541
Lehtiö;540
Lukkarila;540
Kaleva;539
Metsäranta;539
Tokola;538
Hellberg;537
Kiviaho;537
Linden;537
Peiponen;537
Hatakka;536
Häkkilä;536
Juselius;536
Strandberg;536
Halmetoja;535
Tulonen;535
Jokiranta;534
Huuhka;533
Kaila;533
Pahkala;533
Selenius;533
Sten;533
Winter;533
Ahtola;532
Granroth;532
Heiska;532
Naskali;532
Puikkonen;532
Viik;532
Lönnberg;530
Pirnes;530
Pölkki;530
Vilen;530
Alm;529
Välitalo;529
Pekkinen;528
Alenius;527
Mörsky;527
Rehn;527
Törmälä;527
