NIMI ;OSOITE;POSTINUMERO;POSTITOIMIPAIKKA;KUNTA;LUVANALKUPVM;LUPATYYPPI;Y-TUNNUS
Pub Kuru;Mäkikuja 1 B;34300;Kuru;Ylöjärvi;01.07.2015;Anniskelu A, kaikki alkoholijuomat;2693079-1
Pub Kuutio;Kalevantie 3;90570;Oulu;Oulu;01.03.2009;Anniskelu A, kaikki alkoholijuomat;2004183-8
Pub Kyttälä;Kyttälänkatu 9;33100;Tampere;Tampere;13.10.2017;Anniskelu A, kaikki alkoholijuomat;1633085-6
Pub Kärry;Nuijatie 14 LH 3;1650;Vantaa;Vantaa;06.07.2016;Anniskelu A, kaikki alkoholijuomat;1028097-4
Pub Laguuni;Sarkkirannantie 20;90440;Kempele;Kempele;01.03.2018;Anniskelu A, kaikki alkoholijuomat;0186000-2
Pub Laiton;Koskenharjuntie;40250;Jyväskylä;Jyväskylä;19.05.2019;Anniskelu A, kaikki alkoholijuomat;0280840-9
Pub Lehmo;Sormusentie 1;80710;Lehmo;Kontiolahti;15.06.2015;Anniskelu A, kaikki alkoholijuomat;2690598-3
Pub Leirin Kulma;Yrjönkatu 7;53600;Lappeenranta;Lappeenranta;01.06.2017;Anniskelu A, kaikki alkoholijuomat;2630387-8
Pub Letkukellari;Hulkontie 83;70820;Kuopio;Kuopio;01.03.2018;Anniskelu A, kaikki alkoholijuomat;0897388-6
Pub Liippari;Killankatu 2;29200;Harjavalta;Harjavalta;01.04.2018;Anniskelu A, kaikki alkoholijuomat;N/A
Pub Lyhty;Ollintie 17;86800;Pyhäsalmi;Pyhäjärvi;21.03.2018;Anniskelu A, kaikki alkoholijuomat;0730285-3
Pub Lättähattu;Pornaistentie 15;7110;Hinthaara;Porvoo;26.07.2006;Anniskelu A, kaikki alkoholijuomat;1835342-9
Pub Maailmanloppu;Kauppatie 1;29250;Nakkila;Nakkila;01.03.2020;Anniskelu A, kaikki alkoholijuomat;N/A
Pub Maestro;Pirkonsuontie 10;85100;Kalajoki;Kalajoki;04.10.2019;Anniskelu A, kaikki alkoholijuomat;1851475-5
Pub Magneetti;Mäkelänkatu 20;510;Helsinki;Helsinki;04.07.2007;Anniskelu A, kaikki alkoholijuomat;N/A
Pub Mareila;Kauppakatu 70;53100;Lappeenranta;Lappeenranta;19.10.2016;Anniskelu A, kaikki alkoholijuomat;2784475-6
Pub Markus;Torikatu 6;44100;Äänekoski;Äänekoski;01.02.2006;Anniskelu A, kaikki alkoholijuomat;2007737-1
