Etunimi;Lukumäärä
Emmanuel;306
Elian;306
Osman;305
Jake;305
Immo;304
Ville-Matti;303
Sigfrid;302
Hannu-Pekka;302
Alexi;302
Elvis;301
Jari-Matti;301
Tore;300
Mihail;300
Ted;299
Vidar;298
Adiel;297
Edgar;297
Leopold;297
Nikke;296
Kuutti;295
Oleg;294
Eskil;294
Wilmer;294
Thor;292
Amadeus;292
Alec;292
Isac;290
Ari-Matti;290
Hannunpoika;289
Juho-Pekka;287
Emilio;287
Karinpoika;287
Alan;287
Jasse;286
Huugo;286
Rurik;286
Raymond;285
Raul;285
Ingvald;285
Selim;284
Uno;281
Dick;281
Manne;281
Myrsky;280
Rony;280
Melvin;280
Jermu;278
Renne;277
Peik;277
Junior;277
Mohamud;276
Pessi;275
Conny;275
Ronnie;275
Kare;273
Fjalar;273
Hasan;273
Eddie;272
Elof;272
Abdullah;271
Terno;269
Mario;269
Mikhail;268
Kristo;266
Tristan;266
Timo-Pekka;264
Sammeli;262
Jasperi;262
Arttur;261
Ernest;260
Frej;260
Joe;259
Caj;259
Nemo;259
Jussinpoika;258
Aleks;258
Gerhard;257
Patric;257
Uula;256
Roberto;255
Glenn;254
Kerkko;253
Jone;252
Mike;252
Andre;252
Viggo;251
Jaska;250
Minh;250
Louis;248
Sergey;248
Lee;247
Atro;247
Jali;246
Luis;246
Ville-Valtteri;245
Kirill;245
Sigvard;244
Dmitri;243
Ami;243
Marc;242
Rico;241
Mikanpoika;240
Greger;239
Feliks;238
Elja;238
Lionel;238
Abdulkadir;237
Abel;237
Aati;236
Markunpoika;236
Alvi;234
Matthias;234
Michel;233
Morris;233
Andrey;232
Miguel;232
Ronald;230
Miiko;229
Rickhard;229
Olli-Matti;228
Matteo;228
Khalid;228
Jannenpoika;228
Jeremy;228
Ilo;227
Fred;227
Valeri;227
Hamza;224
Ariel;224
Mehmet;223
Saul;223
Sven-Erik;222
Raafael;222
Remu;221
Villehard;220
Abdul;218
Ryan;217
Johann;217
Aaretti;217
Karl-Gustav;216
Ken;216
Jarko;215
Rauni;214
Nathan;213
Hiski;213
Arinpoika;211
Ture;210
Finn;209
Eikka;208
Luke;207
Singh;207
Miklas;207
Milan;205
Leino;205
Jan-Peter;204
Caspian;204
Jaakonpoika;204
Daniil;203
Simo-Pekka;203
Jani-Petteri;203
Eliot;202
Ron;202
Ricardo;202
Eduard;202
Alexei;202
Alberto;201
Kauri;201
Alpi;201
Algot;201
Jan-Mikael;201
Jusa;200
Juan;200
Anas;200
Jaakoppi;199
Titus;199
Henning;198
Gottfrid;195
Colin;195
Saska;195
Francis;194
Leonel;192
Thanh;191
Ahto;190
Artem;190
Timothy;189
Alexey;188
Waltter;188
Niilas;187
Verne;187
Kari-Matti;187
Clas;186
Liinus;186
Micke;186
Aale;185
Tuisku;185
Gideon;185
Valtti;185
Steven;184
Tyko;184
Petrinpoika;184
Per-Olof;183
Sami-Pekka;182
Lenny;181
Jan-Olof;181
Dmitry;181
Andres;180
Jaajo;180
Rufus;180
Auno;179
Harrinpoika;179
Mitro;177
Abbas;177
Jyry;177
Sami-Petteri;176
Muhammed;175
Ludwig;175
Charlie;174
Lemmy;173
Villenpoika;173
Alessandro;173
Asla;173
Nils-Erik;172
Valentino;172
Miiro;171
Sean;171
Sakke;171
Ollinpoika;171
Brian;170
Valle;170
Jero;169
Filemon;169
Jaan;169
Jaakob;168
Stephen;168
Rikard;168
Carlo;168
Bo-Erik;167
Antoni;167
Juho-Matti;167
Josua;166
Jeremi;166
Isaac;166
Damien;165
Jaakkima;165
Emir;164
Rabbe;164
Jerker;164
Anttu;164
Timoteus;164
Kaspar;163
Markonpoika;163
Efraim;163
Malakias;162
Jirka;162
Oliwer;162
Risto-Matti;162
Emre;162
Ethan;161
Alejandro;161
Niko-Petteri;161
Yasin;161
Robertino;161
Claes;160
Jaako;160
Juhan;159
Hermann;158
Vadim;158
Esa-Matti;158
Curt;158
José;158
Franz;158
Tahvo;157
Jani-Pekka;157
Vinski;157
Alpertti;156
Chris;156
Carl-Erik;156
Jamal;156
Eeka;156
Karlo;155
Simeoni;155
Carl-Gustav;155
Mahmoud;155
Severin;155
Raoul;155
Jiro;154
Ray;154
Mohamad;154
Jamiel;154
Hampus;154
Deniz;154
Silvo;153
Zakaria;153
Kaj-Erik;153
Dylan;152
Vikke;152
Wilho;151
Jan-Anders;150
Juha-Petteri;150
Andrea;149
Aslan;149
Kunto;148
Jousia;148
Morgan;148
Hans-Erik;148
Ano;146
Saminpoika;146
Juhamatti;146
Evan;145
Elton;145
Mahdi;145
Aaprami;144
Misa;144
Christofer;144
Joacim;144
Jeri;144
Bilal;143
Sammy;143
Sanfrid;143
Eirik;142
Emerik;142
Caius;142
Egil;142
Vladislav;142
Angelo;142
Jan-Henrik;142
Elijah;141
Kosmo;141
Pedro;141
Anatoli;141
Matti-Pekka;141
Adnan;141
Vilpas;141
Miku;140
Nathaniel;140
Dominik;140
Janne-Pekka;140
Anh;140
Daavid;140
Juska;140
Harto;139
Vesanpoika;139
Pär;139
Francisco;139
Moritz;138
Fridolf;138
Vieno;138
Marek;137
Erkinpoika;137
Dante;137
Hendrik;135
Aksu;135
Marcel;135
Måns;135
Juuse;135
Odin;135
Juha-Petri;135
Arman;135
Remi;135
Roi;134
Mateo;134
Nelson;133
Pepe;133
Fernando;132
Wilhelmi;132
Jerome;132
Reza;132
Jouninpoika;131
Israel;131
Jouka;131
Ragnvald;131
Ville-Markus;130
Stephan;130
Toomas;130
Ristonpoika;130
Pablo;129
Laurinpoika;129
Mikail;129
Rayan;128
Riku-Pekka;127
Evgeny;127
Brynolf;127
Weeti;127
Pehr;127
Vili-Valtteri;126
Ilyas;126
Nikanor;126
Ilkanpoika;125
Tami;125
Milko;125
Melker;125
Natanael;125
Stanislav;125
Diego;125
Joeli;125
Marlon;124
Hamid;124
Engelbert;124
Md.;124
Oswald;123
Eemu;123
Malik;123
Jooel;123
Leonid;123
Willem;123
Muhamed;122
Rolle;122
Nicolai;122
Scott;122
Mikko-Pekka;122
Damian;122
Niku;122
Claus;122
Ernesto;122
Ismael;121
Mahad;121
Eki;120
Sven-Olof;120
Pasinpoika;120
Eeronpoika;120
Ante;119
Riku-Petteri;119
Anto;119
Keimo;119
Akilles;119
Kenny;119
Volter;119
Mikki;118
Jussi-Petteri;118
Musa;118
Mehdi;118
Esanpoika;118
Thorvald;117
Elvin;117
Nikolaus;117
Erling;117
Justin;117
Jakke;117
Vitali;116
Aden;116
Marlo;115
Armo;115
Huuko;115
